iteration,agent,x,y,mass,fitness
15,9,0.223187,-0.132446,0.0345172,0.0673545
15,10,0.259816,-0.208329,0.0345069,0.110905
15,11,0.538846,-0.229883,0.0344519,0.343201
15,12,0.41192,-0.136823,0.0344885,0.188398
15,13,0.157536,-0.267478,0.0345103,0.0963619
15,14,0.189331,-0.285545,0.0345053,0.117382
15,15,0.196973,-0.215208,0.034513,0.0851129
15,16,0.272652,1.25422,0.0341432,1.64742
15,17,0.237556,-0.193701,0.0345109,0.0939526
15,18,0.256164,-0.237818,0.0345042,0.122177
15,19,0.0655882,-0.240763,0.0345184,0.0622688
15,20,0.289134,-0.217093,0.0345022,0.130728
15,21,0.238315,-0.265002,0.0345031,0.12702
15,22,0.163235,-0.269802,0.0345096,0.099439
15,23,0.218962,-0.379813,0.0344876,0.192202
15,24,0.24126,-0.305737,0.0344972,0.151681
15,25,0.26328,-0.181058,0.034509,0.102098
15,26,0.0368851,-0.201227,0.0345232,0.0418529
15,27,9.7965,7.06685,0,145.912
15,28,0.102923,-0.304781,0.0345086,0.103485
15,29,0.510339,-0.240927,0.0344577,0.318492
16,0,0.218994,-0.274899,0.0344934,0.123528
16,1,0.469922,-0.202092,0.0344607,0.261668
16,2,0.229339,-0.209962,0.0344997,0.0966806
16,3,0.246593,-0.135766,0.0345038,0.0792406
16,4,0.218954,-0.183049,0.0345033,0.0814477
16,5,0.23931,-0.182497,0.0345012,0.0905748
16,6,0.136613,-0.201583,0.0345086,0.0592988
16,7,0.310927,-0.248802,0.0344851,0.158578
16,8,0.237787,0.68576,0.0343979,0.52681
16,9,0.226692,-0.471712,0.0344578,0.273901
16,10,0.246662,-0.244512,0.034494,0.120628
16,11,0.327494,-0.222356,0.0344855,0.156695
16,12,0.0110891,-0.184737,0.0345145,0.0342509
16,13,0.185699,-0.271788,0.0344969,0.108353
16,14,0.222528,-0.222935,0.0344991,0.0992186
16,15,0.156795,-0.234131,0.0345038,0.0794021
16,16,0.264145,1.12292,0.0342077,1.33072
16,17,0.236996,-0.206318,0.0344992,0.0987343
16,18,0.204857,-0.255278,0.0344972,0.107133
16,19,0.126178,-0.196388,0.0345097,0.0544893
16,20,0.24467,-0.237221,0.0344951,0.116137
16,21,0.288176,-0.193094,0.0344941,0.120331
16,22,0.237972,-0.215205,0.0344982,0.102944
16,23,0.226169,-0.282662,0.0344916,0.13105
16,24,0.247331,-0.22189,0.0344965,0.110408
16,25,0.242017,-0.175746,0.0345014,0.0894591
16,26,-0.0112321,-0.227791,0.0345103,0.0520148
16,27,9.7965,7.06685,0,145.912
16,28,0.140994,-0.16244,0.0345116,0.0462663
16,29,0.250512,-0.330012,0.034482,0.171664
17,0,0.193454,-0.250359,0.0344937,0.100104
17,1,0.407757,-0.113253,0.034475,0.179092
17,2,0.209995,-0.211006,0.0344964,0.0886217
17,3,0.342233,-0.231874,0.034477,0.170889
17,4,0.145344,-0.233058,0.0344995,0.0754411
17,5,0.324614,-0.196292,0.0344834,0.143905
17,6,0.0952856,-0.192052,0.0345065,0.0459631
17,7,0.204036,-0.213244,0.0344968,0.0871036
17,8,0.232091,0.510522,0.034443,0.314499
17,9,0.221682,-0.661332,0.0344023,0.486503
17,10,0.200633,-0.216775,0.0344968,0.087245
17,11,0.0516643,-0.207631,0.0345066,0.0457798
17,12,-0.0592947,-0.216725,0.0345055,0.0504855
17,13,0.227277,-0.187234,0.0344969,0.0867111
17,14,0.263138,-0.18118,0.0344932,0.102068
