iter,avg_best,median_best,std_best,avg_mean
445,8.71312e-07,8.66343e-07,1.81723e-07,2.93736e-06
446,8.60955e-07,8.09792e-07,1.7727e-07,3.42051e-06
447,8.39876e-07,8.02616e-07,1.68768e-07,2.72152e-06
448,8.10848e-07,7.91303e-07,1.55797e-07,3.36681e-06
449,7.79643e-07,7.70989e-07,1.68889e-07,2.46651e-06
450,7.66216e-07,7.70989e-07,1.55827e-07,3.16688e-06
451,7.27043e-07,7.53857e-07,1.25023e-07,2.2934e-06
452,7.23304e-07,7.49975e-07,1.26076e-07,2.86288e-06
453,6.89906e-07,6.86705e-07,1.18661e-07,2.19315e-06
454,6.79164e-07,6.86705e-07,1.07608e-07,2.5634e-06
455,6.49067e-07,6.29758e-07,1.1253e-07,1.96859e-06
456,6.06837e-07,5.94355e-07,9.99509e-08,2.19261e-06
457,5.91775e-07,5.76104e-07,9.32697e-08,1.72722e-06
458,5.78195e-07,5.58365e-07,9.24151e-08,1.95335e-06
459,5.48936e-07,5.43788e-07,1.0973e-07,1.64977e-06
460,5.29891e-07,5.36126e-07,9.32277e-08,1.81347e-06
461,4.96618e-07,4.93005e-07,1.03725e-07,1.61933e-06
462,4.82513e-07,4.69496e-07,1.00529e-07,1.69787e-06
463,4.58125e-07,4.55318e-07,1.03679e-07,1.44341e-06
464,4.32889e-07,4.15775e-07,9.48945e-08,1.5146e-06
465,4.03369e-07,3.85119e-07,9.42572e-08,1.37466e-06
466,3.77337e-07,3.65577e-07,8.32296e-08,1.41562e-06
467,3.74975e-07,3.65577e-07,7.80287e-08,1.31117e-06
468,3.6257e-07,3.50471e-07,8.1333e-08,1.34809e-06
469,3.58032e-07,3.50364e-07,8.11367e-08,1.2394e-06
470,3.4713e-07,3.36544e-07,8.0238e-08,1.20157e-06
471,3.35402e-07,3.34016e-07,6.05179e-08,1.14815e-06
472,3.2181e-07,3.20601e-07,5.43723e-08,1.08193e-06
473,3.0713e-07,3.09627e-07,5.10076e-08,1.05978e-06
474,2.98456e-07,3.05463e-07,4.93622e-08,9.90397e-07
475,2.87988e-07,2.93601e-07,4.83927e-08,9.6477e-07
476,2.77513e-07,2.91114e-07,4.87614e-08,9.22757e-07
477,2.62155e-07,2.62079e-07,4.50882e-08,8.70952e-07
478,2.45913e-07,2.42759e-07,3.70099e-08,8.22617e-07
479,2.29463e-07,2.34203e-07,4.05983e-08,7.82761e-07
480,2.15545e-07,2.20506e-07,4.17527e-08,7.38083e-07
481,2.0327e-07,2.10323e-07,3.94933e-08,7.27871e-07
482,1.97146e-07,2.05495e-07,4.18408e-08,7.19298e-07
483,1.93726e-07,2.00029e-07,4.28893e-08,7.09002e-07
484,1.88983e-07,1.94221e-07,4.108e-08,7.04712e-07
485,1.80627e-07,1.80289e-07,4.17357e-08,6.45392e-07
486,1.7147e-07,1.73626e-07,4.01169e-08,6.38109e-07
487,1.63401e-07,1.64597e-07,3.54987e-08,5.8994e-07
488,1.56583e-07,1.6005e-07,3.11411e-08,5.90309e-07
489,1.51536e-07,1.50889e-07,2.78277e-08,5.17458e-07
490,1.48482e-07,1.50384e-07,2.76838e-08,5.40889e-07
491,1.41958e-07,1.36809e-07,2.58758e-08,4.5841e-07
492,1.33553e-07,1.30225e-07,2.2732e-08,4.81446e-07
493,1.26392e-07,1.21927e-07,2.20306e-08,4.1962e-07
494,1.21501e-07,1.1465e-07,2.29508e-08,4.44513e-07
495,1.1499e-07,1.09825e-07,2.35978e-08,4.0322e-07
496,1.13617e-07,1.0744e-07,2.45859e-08,4.09912e-07
497,1.0753e-07,1.04925e-07,2.32971e-08,3.6474e-07
498,1.06171e-07,1.04925e-07,2.07779e-08,3.60843e-07
499,1.00395e-07,1.02564e-07,2.17025e-08,3.27983e-07
500,9.25053e-08,8.99679e-08,2.0716e-08,3.30412e-07
501,8.63868e-08,8.39987e-08,1.67259e-08,3.14433e-07
502,8.45921e-08,8.39987e-08,1.32393e-08,3.05394e-07
503,8.14453e-08,8.15193e-08,1.19378e-08,2.85698e-07
504,7.82376e-08,7.85093e-08,1.14746e-08,2.92139e-07
505,7.23021e-08,7.33447e-08,1.39303e-08,2.66843e-07
506,7.11476e-08,7.33447e-08,1.28009e-08,2.62694e-07
507,6.87271e-08,7.04798e-08,1.40409e-08,2.49869e-07
508,6.69009e-08,6.98601e-08,1.41083e-08,2.30541e-07
509,6.38285e-08,6.299e-08,1.26626e-08,2.33364e-07
